YEAR,PROVINCE,DISTRIC,SEX,VALUE,UNIT,SOURCE
2564,จันทบุรี,รวม,หญิง,274300.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตราด,รวม,หญิง,115435.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ฉะเชิงเทรา,รวม,หญิง,369344.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปราจีนบุรี,รวม,หญิง,250683.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครนายก,รวม,หญิง,131579.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สระแก้ว,รวม,หญิง,281319.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ราชบุรี,รวม,หญิง,446360.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กาญจนบุรี,รวม,หญิง,445742.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุพรรณบุรี,รวม,หญิง,432477.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครปฐม,รวม,หญิง,479371.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรสาคร,รวม,หญิง,304106.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรสงคราม,รวม,หญิง,99741.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เพชรบุรี,รวม,หญิง,249948.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ประจวบคีรีขันธ์,รวม,หญิง,279122.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เชียงใหม่,รวม,หญิง,925021.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลำพูน,รวม,หญิง,208427.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลำปาง,รวม,หญิง,371784.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุตรดิตถ์,รวม,หญิง,228735.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,แพร่,รวม,หญิง,225177.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,น่าน,รวม,หญิง,237916.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พะเยา,รวม,หญิง,238562.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เชียงราย,รวม,หญิง,667557.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,แม่ฮ่องสอน,รวม,หญิง,141105.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครสวรรค์,รวม,หญิง,530371.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุทัยธานี,รวม,หญิง,166190.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กำแพงเพชร,รวม,หญิง,360604.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
